NAME1,NAME2
-16-CYG,16 Cyg B
-BET-P,beta Pic
-RHO-C,55 Cnc
16-CYG,16 Cyg B
2MASS-J16371556+07110,WASP-103
2MASS-J19021775+38240,Kepler-9
2MASS-J23062928-05022,TRAPPIST-1
47-U,47 UMa
51P,51 Peg
B-P,beta Pic
BD+41-33,Kepler-444
BD+47-29,HAT-P-11
BD+68D9,GJ 687
BET-PIC-DISK,beta Pic
COROT,CoRoT-1
FOMALHAUT,Fomalhaut
GJ-12,GJ 1214
GJ-34,GJ 3470
GJ12,GJ 1214
GJ66,GJ 667 C
GSC-04980-007,WASP-39
GSC-05490-001,WASP-43
HAT,HAT-P-7
HAT-P,HAT-P-1
HAT-P-,HAT-P-26
HD-101,HD 10180
HD-1021,HD 102117
HD-1040,HD 104067
HD-106,HD 10647
HD-1147,HD 114783
HD-11472,HD 114729
HD-1176,HD 117618
HD-1215,HD 121504
HD-1283,HD 128311
HD-1361,HD 136118
HD-14,HD 1461
HD-1463,WASP-38
HD-1470,HD 147018
HD-1543,HD 154345
HD-1553,HD 155358
HD-1566,HD 156668
HD-1649,HD 164922
HD-178911,HD 178911 B
HD-1870,HD 187085
HD-1897,HD 189733
HD-1922,HD 192263
HD-1970,HD 197037
HD-2094,HD 209458
HD-2225,HD 222582
HD-230,HD 23079
HD-281,HD 28185
HD-371,HD 37124
HD-385,HD 38529
HD-41,HD 4113
HD-42,HD 4208
HD-471,HD 47186
HD-652,HD 65216
HD-706,HD 70642
HD-79,HD 7924
HD-794,HD 79498
HD-901,HD 90156
HD-927,HD 92788
HD-994,HD 99492
HD0014,HD 1461
HD0079,HD 7924
HD0098,upsilon And
HD0119,HD 11964
HD0199,HD 19994
HD0220,epsilon Eri
HD0293,51 Eri
HD0335,HD 33564
HD0689,HD 68988
HD0698,HD 69830
HD0713,omicron UMa
HD0806,HD 80606
HD09949,HD 99492
HD1062,HD 106252
HD1147,HD 114762
HD1153,GJ 504
HD115617-N,61 Vir
HD12,HD 1237
HD1201,tau Boo
HD1266,HD 126614 A
HD1318,bet UMi
HD1367,11 UMi
HD1377,iota Dra
HD1456,14 Her
HD1817,HD 181720
HD1897,HD 189733
HD1923,HD 192310
HD199,HD 19994
HD2094,HD 209458
HD2170,51 Peg
HD2171,HD 217107
HD2224,gamma Cep
HD36,HD 3651
HD390,beta Pic
HD403,HD 40307
HD472,7 CMa
HD834,HD 83443
HD855,HD 85512
HD98,upsilon And
HIP-912,HIP 91258
K2,K2-3
K2-,K2-25
KELT,KELT-7
KEPLER-,Kepler-11
KEPLER-1,Kepler-138
MIDPOI,HAT-P-1
MU-A,mu Ara
RHO-C,rho CrB
TRE,TrES-1
TRES,TrES-4
TYC-5165-481,WASP-80
V-EPS-E,epsilon Eri
V-IL-A,GJ 876
WASP,WASP-6
WASP-,WASP-62
XO,XO-2
XO,XO-2S
