NAME1,NAME2,CLASS
CVZ,PMI J14085-7854,STAR M0V
CVZ,PMI J14284-7410,STAR M0V
CVZ,PMI J14321-7357,STAR M5V
CVZ,PMI J14388-8102,STAR M0V
CVZ,PMI J14392-7500,STAR M1V
CVZ,PMI J14546-7940,STAR K7V
CVZ,PMI J15021-7118,STAR M4V
CVZ,PMI J15061-6415,STAR K7V
CVZ,PMI J15110-7926,STAR M3V
CVZ,PMI J15124-7828,STAR K7V
CVZ,PMI J15137-6521,STAR M3V
CVZ,PMI J15173-8028,STAR M3V
CVZ,PMI J15240-7054,STAR M1V
CVZ,PMI J15308-5851,STAR M0V
CVZ,PMI J15327-6150,STAR M2V
CVZ,PMI J15392-8225,STAR M0V
CVZ,PMI J15426-6128,STAR M1V
CVZ,PMI J15480-5811,STAR M2V
CVZ,PMI J15572-6128,STAR M4V
CVZ,PMI J15576-5813,STAR M3V
CVZ,PMI J16046-5521,STAR M0V
CVZ,PMI J16059-6117,STAR K7V
CVZ,PMI J16060-7432,STAR M2V
CVZ,PMI J16066-5506,STAR M1V
CVZ,PMI J16088-5452E,STAR K7V
CVZ,PMI J16104-8414,STAR M0V
CVZ,PMI J16130-7009,STAR M5V
CVZ,PMI J16165-7304,STAR M3V
CVZ,PMI J16270-5411,STAR M0V
CVZ,PMI J16271-5431,STAR M1V
CVZ,PMI J16286-5744,STAR M2V
CVZ,PMI J16333-5207,STAR M1V
CVZ,PMI J16439-7530,STAR M1V
CVZ,PMI J16479-6509,STAR M4V
CVZ,PMI J16484-7258,STAR M1V
CVZ,PMI J16513-5406,STAR M3V
CVZ,PMI J16515-5615,STAR M1V
CVZ,PMI J16535-5632,STAR M3V
CVZ,PMI J16535-6049,STAR K7V
CVZ,PMI J16537-6441,STAR M3V
CVZ,PMI J16555-6515,STAR K7V
CVZ,PMI J16579-7953,STAR M0V
CVZ,PMI J17014-5701,STAR M1V
CVZ,PMI J17035-6548,STAR M1V
CVZ,PMI J17038-4934S,STAR M2V
CVZ,PMI J17085-7228,STAR M2V
CVZ,PMI J17106-5206,STAR M4V
CVZ,PMI J17109-5230,STAR M1V
CVZ,PMI J17196-7001,STAR K7V
CVZ,PMI J17225-6951,STAR M0V
CVZ,PMI J17263-8433,STAR M5V
CVZ,PMI J17266-4712,STAR M3V
CVZ,PMI J17281-6227,STAR M4V
CVZ,PMI J17287-6143,STAR M0V
CVZ,PMI J17294-8008,STAR M4V
CVZ,PMI J17301-5138,STAR M0V
CVZ,PMI J17323-4736,STAR M4V
CVZ,PMI J17348-7327,STAR K7V
CVZ,PMI J17352-4840,STAR M2V
CVZ,PMI J17375-6633,STAR M2V
CVZ,PMI J17384-7633,STAR M0V
CVZ,PMI J17385-5832,STAR M3V
CVZ,PMI J17463-8211,STAR M3V
CVZ,PMI J17465-5719,STAR M3V
CVZ,PMI J17483-5642,STAR M0V
CVZ,PMI J17509-5636,STAR M2V
CVZ,PMI J17541-7514,STAR M0V
CVZ,PMI J17573-5127,STAR M0V
CVZ,PMI J17573-5229,STAR M4V
CVZ,PMI J18004-4828,STAR M1V
CVZ,PMI J18041-6429,STAR K7V
CVZ,PMI J18043-8007,STAR M2V
CVZ,PMI J18057-4830,STAR M0V
CVZ,PMI J18082-6511,STAR M0V
CVZ,PMI J18112-7244,STAR M3V
CVZ,PMI J18112-7859,STAR M4V
CVZ,PMI J18134-5325,STAR M1V
CVZ,PMI J18153-6406,STAR M2V
CVZ,PMI J18173-4929,STAR K7V
CVZ,PMI J18192-7702,STAR M4V
CVZ,PMI J18208-6225,STAR K7V
CVZ,PMI J18216-6735,STAR M0V
CVZ,PMI J18244-7430,STAR M4V
CVZ,PMI J18302-5816,STAR M0V
CVZ,PMI J18317-7652,STAR M3V
CVZ,PMI J18406-5455,STAR K7V
CVZ,PMI J18413-6025,STAR K7V
CVZ,PMI J18431-5436,STAR M4V
CVZ,PMI J18456-6451,STAR M1V
CVZ,PMI J18468-6210,STAR M2V
CVZ,PMI J18486-6135,STAR M2V
CVZ,PMI J18498-5726,STAR M5V
CVZ,PMI J18504-6203,STAR M2V
CVZ,PMI J18519-6156,STAR M3V
CVZ,PMI J18520-6046,STAR M4V
CVZ,PMI J18528-5707,STAR M2V
CVZ,PMI J18534-7537,STAR M0V
CVZ,PMI J18575-5559,STAR M0V
CVZ,PMI J18591-4816,STAR M2V
CVZ,PMI J18596-6327,STAR M4V
CVZ,PMI J19005-5222,STAR K7V
CVZ,PMI J19053-5434,STAR M3V
CVZ,PMI J19094-7918,STAR M1V
CVZ,PMI J19123-5300,STAR M0V
CVZ,PMI J19124-5552,STAR M0V
CVZ,PMI J19136-7309,STAR M3V
CVZ,PMI J19170-5238W,STAR M5V
CVZ,PMI J19196-5955,STAR M5V
CVZ,PMI J19196-8049,STAR M0V
CVZ,PMI J19197-7619,STAR M1V
CVZ,PMI J19209-8233,STAR M4V
CVZ,PMI J19296-7444,STAR M3V
CVZ,PMI J19310-7337,STAR M3V
CVZ,PMI J19337-6114,STAR K7V
CVZ,PMI J19340-5225,STAR M4V
CVZ,PMI J19346-6250,STAR M3V
CVZ,PMI J19371-5134,STAR M0V
CVZ,PMI J19442-5146,STAR K7V
CVZ,PMI J19457-6616,STAR K7V
CVZ,PMI J19458-6316,STAR M0V
CVZ,PMI J19470-7105,STAR M4V
CVZ,PMI J19484-8027,STAR M0V
CVZ,PMI J19523-8057,STAR M2V
CVZ,PMI J19540-6438,STAR M4V
CVZ,PMI J19549-5536,STAR M1V
CVZ,PMI J19561-5442,STAR M3V
CVZ,PMI J19586-8404,STAR K7V
CVZ,PMI J20011-6022,STAR M2V
CVZ,PMI J20038-5357,STAR M3V
CVZ,PMI J20040-6535,STAR M2V
CVZ,PMI J20040-6536,STAR M2V
CVZ,PMI J20068-6736,STAR M4V
CVZ,PMI J20082-7804,STAR M2V
CVZ,PMI J20090-6848,STAR K7V
CVZ,PMI J20142-5449,STAR M4V
CVZ,PMI J20153-5645E,STAR M3V
CVZ,PMI J20226-5817,STAR K7V
CVZ,PMI J20280-7640,STAR M5V
CVZ,PMI J20348-6347,STAR M4V
CVZ,PMI J20396-7703,STAR M0V
CVZ,PMI J20436-8104,STAR K7V
CVZ,PMI J20439-7552,STAR M7V
CVZ,PMI J20466-8143,STAR M4V
CVZ,PMI J20516-7918,STAR M2V
CVZ,PMI J20534-6347N,STAR M1V
CVZ,PMI J20534-7308,STAR M3V
CVZ,PMI J21065-8054,STAR M3V
CVZ,PMI J21142-7633,STAR M3V
CVZ,PMI J21201-6739,STAR M1V
CVZ,PMI J21214-6655,STAR M0V
CVZ,PMI J21218-7259,STAR M2V
CVZ,PMI J21254-8138,STAR M3V
CVZ,PMI J21337-7353,STAR M0V
CVZ,PMI J21429-7405,STAR M3V
CVZ,PMI J21442-8031,STAR K7V
CVZ,PMI J21476-7757,STAR M1V
